GlobalId,SeatBooking.IsBookable,SeatBooking.IsInIfcSpace,SeatBooking.PowerOutletAvailable,SeatBooking.SeatID
0mv_t$_Ba0HRVyc4kGDkam,False,R-02,False,
2$YF02TeYSGvD5SpkYiIve,False,R-02,False,
0X3UK46YrIIOGR8zicrTcf,False,R-02,False,
0qq89wOjiOJ874eKiYQaU3,False,R-02,False,
2ETrqDSnHOI8E$l3EUGkpI,False,R-02,False,
1_hzZ15TBxIvfPiwmRB7jj,False,R-02,False,
1irl5UbkYFGuDS0qWXXluY,False,R-02,False,
3KwkGWDDWBIO0qUaxhA$VW,False,R-02,False,
0x7KJW0yZjIe4f3TmRwQPP,False,R-02,False,
1sLmIkMpArHeptPiMtKfIo,False,R-02,False,
0WZeniSn00JQ5lXiKo$8$s,False,R-02,False,
3TneZJMWfuJ8BgviSXH3CP,False,R-02,False,
1TMtQXKACCGfVMaBuRRbTC,False,R-02,False,
2nl7khN$Q4JeGMkmdRba5i,False,R-02,False,
11cRTBJTxLIwCA_$kaxeFs,False,R-02,False,
31_zH7Sou2I8nkxI7VydPV,False,R-02,False,
0V7samNjLDGwr6wuzK8C10,False,R-02,False,
0CnuBgRAwgJfspJkZeneUT,False,R-02,False,
2xLX9AY_aJIRPgOX92PzsG,False,R-02,False,
1a9lmunX_pG9v8zOLOcfxZ,False,R-02,False,
0VTgb$$nTdHAIClj9C1ubz,False,R-02,False,
39kmHNavBsGACfxveVvGt5,False,R-02,False,
0OrlC9dLE7Iv$Ov_83Zlo2,False,R-02,False,
0wbdIHZ$q_GArX6OP1Kb3z,False,R-02,False,
3Yow4ighMLIhKcgq$$NUqY,False,R-02,False,
1EPelqdElCIBqa3Wlpl7RA,False,R-02,False,
3xtbVj9C9AHuJ50pU51RHw,False,R-02,False,
0kfcWSDZIxIA_UEH6z1nMV,False,R-02,False,
2ueOuplt6kG8Xf2q9fpmgV,False,R-02,False,
0Uy8iWUYRfJOQ9VDiqygi7,False,R-02,False,
3EVZPJ9m6NJ9tWepIMBSQw,False,R-02,False,
3sqnQoZ2wWGu8qHTe_jD9H,False,R-02,False,
1CogZuhD2gJB8jPVff_UrV,False,R-02,False,
3GuLG_BJRYGP4Uny6npfJY,False,R-02,False,
0H0DbnXDKMJA6nUPdNW6$d,False,R-02,False,
3kU4a8Ytc0Ihv_7J4IL6pM,False,R-02,False,
1LJnBbf0BiGAp6Yd1owBuM,False,R-02,False,
3kD48BPM3wGw0vhc8GB0jW,False,R-02,False,
2StQ7JoLRgHRADd5HhdMue,False,R-02,False,
1jsTX32Of8J9Q4H8KbIlZU,False,R-02,False,
2I2vVqDBFoIRylrwMipEWh,False,R-02,False,
3QEkCgMp_pGgDrvj$PlPKH,False,R-02,False,
2sPd_6TRzsIvhsomD8chIj,False,R-02,False,
0DHOOWJ9OVIQW6a7IvAjcu,False,R-02,False,
2T7nt3$C3aIAZc8NklpfVg,False,R-02,False,
2obv0OUm6tJeT_LkNBkaiq,False,R-02,False,
0PievC_KIPHAZ7g8BAOLYA,False,R-02,False,
2NhxZJSnd9J9jD53OwdgdD,False,R-02,False,
1JQpeA1e5yGByQLKuhvn3J,False,R-02,False,
2QeGDYuL6nGw76Ex2JlGws,False,R-02,False,
2NP2Fp9V5JHARgE_fRr1JS,False,R-02,False,
0iMAjMeGmEJAehXabTD_KI,False,R-02,False,
1Wyhfv8Fm8HvZJA7vrCBcS,False,R-02,False,
0yhZVdBkb4HOt6SYZyZhvb,False,R-02,False,
37uzx1Zm1gIBfVqiqS1jeC,False,R-02,False,
3Dztf3e7cZGBKQLmEDPix_,False,R-02,False,
2FnqT$Ot5jHQ7Y9$JOOE5h,False,R-02,False,
2izcQwleBQGxjVT7EZzfMr,False,R-02,False,
1lry$YVhd9GBAdySpbZfdY,False,R-02,False,
3huBQHPYdbHv8XF1_Xih_Q,False,R-02,False,
0Onx5RF6kLJhEOZvSl3Ks4,False,R-02,False,
3fOXyugWHkGOTJe7zT311V,False,R-02,False,
2J6WroSoRXJBY1tH5PLXSy,False,R-02,False,
15Fd4FeOflHh0C6TVNezb6,False,R-02,False,
3pp3OkrgxeJxv7JJb1Ff6c,False,R-02,False,
0Un0ZJnpZtGgEJTlJbS0gF,False,R-02,False,
1D6McjCRmnHeYGogec2gsK,False,R-02,False,
0enkLYuq8YJhSwquHQCGLW,False,R-02,False,
1GS_Srb2bZG9ZUIaquSPVX,False,R-02,False,
0l827MEif$JgVJdQFDw1$H,False,R-02,False,
2anC_KLizrJvgkKIW29YQZ,False,R-02,False,
04NTgVvvn4HennOjKB6JRw,False,R-02,False,
365Fm4sIHqIOUS1CFIJCSn,True,R-36,True,R-36_S-05
2GE3ahkiEOIxXUaY$a8THd,True,R-36,True,R-36_S-06
2RfbrECvpZJfdOLfKA_4ho,True,R-36,True,R-36_S-11
3_SrhiBCZzJhQOer_GJQSu,True,R-36,True,R-36_S-12
2x5fpekodoJPVP9e7aZ3k2,True,R-36,True,R-36_S-14
0PkbHmCPMJHeDNPetV0aMr,True,R-36,True,R-36_S-13
2zoxJ4mZeoGB5bBgxyARxw,True,R-36,True,R-36_S-15
27iaaFKm9xGAgokDyl0ZYH,True,R-36,True,R-36_S-01
0dLOSOJ_cuGhDRqGICAbt2,True,R-36,True,R-36_S-17
14xjo$Rj_2GBw17cFNqLwp,True,R-36,True,R-36_S-02
0tcR_W7SlQHgQxnwnqXbfa,True,R-36,True,R-36_S-18
1qVVM7Gv31GfMRADyaMhv4,True,R-36,True,R-36_S-07
0VXzSrKrqFHwEKHPqP0GJp,True,R-36,True,R-36_S-16
0lJdglepaJIglN84VZGTeY,True,R-36,True,R-36_S-03
14XKcj8371GutnC1mZXvLS,True,R-36,True,R-36_S-08
0q$jgPIeNEJwfuBwEJp89Q,True,R-36,True,R-36_S-04
2vH9AAixNDJg99x_8Lpe31,True,R-36,True,R-36_S-09
2mmZlVC$YEGPHwGu_9dKbN,True,R-36,True,R-36_S-10
3aAur4waFjJvaVxfkMcVpd,True,R-13,False,R-13_S-08
3lwc$UqJH1Jvnvgub43ZjW,True,R-13,True,R-13_S-12
0kMRHR3md5JgcQpw3xtWhO,True,R-13,True,R-13_S-01
3zvDz$jMAQHhccQ3eln784,True,R-13,False,R-13_S-14
29y9p_CpsQH8oFOpc908$K,True,R-13,False,R-13_S-11
0hkxTIPcmBI85nqIWw$$2W,True,R-13,True,R-13_S-06
3Sc5Mv4t98HA9yf4CQ3xOI,True,R-13,True,R-13_S-07
3O47HcF0AJH9BDqtXT8AIx,True,R-13,True,R-13_S-10
0nBJWje73xJ8VuI9D63F5V,True,R-13,False,R-13_S-05
2EceCUhvMRJ8gmp6XbfEz7,True,R-13,True,R-13_S-13
39i0NK3pBMHhTQp09F6jzI,True,R-13,True,R-13_S-15
1vST$K6ngcGx23Ne$FNbDH,True,R-13,True,R-13_S-04
3HlDdNE9wzHws9Mvb38Yo$,True,R-13,True,R-13_S-09
2KTL79pA8WIQSmDv2RlwPg,True,R-13,True,R-13_S-03
0NQ2huQyZJJh42TsMqm6_x,True,R-13,False,R-13_S-02
27cBcMYZTiJ9crUC7wiwxR,True,R-44,True,R-44_S-10
0k2KBTCAKyHfgJtRxXFEca,True,R-44,True,R-44_S-18
0yq02c47gdIxsFzzBiws8r,True,R-44,True,R-44_S-14
3$3uPRXDpUHxbOWgYzvyNg,True,R-44,True,R-44_S-06
2hwvEXN00GH87vvhitueEE,True,R-44,True,R-44_S-19
2VVbJ$5sqBJeFbJCCPXPl2,True,R-44,True,R-44_S-15
3_DlBS$_gDJAGErQ8hTWFR,True,R-44,True,R-44_S-20
3Y7Iya3YGpJhTz1mnqZ45Z,True,R-44,True,R-44_S-16
2U2vvq05bTGhMc1Qx$udpF,True,R-44,True,R-44_S-12
0NxyrrKth2IRU7XzUtgIdM,True,R-44,True,R-44_S-04
1r8CZkaTI0JPRxEWwdEKa5,True,R-44,True,R-44_S-08
3bQKZ2hVmGIuPveg16bh5r,True,R-44,True,R-44_S-03
0CElSLu4COJwIb2pv0q8Lp,True,R-44,True,R-44_S-02
3zmxSh2pBBJB3Ft_LS7sH5,True,R-44,True,R-44_S-07
1egZUVMOliIurwFvPRVn7Y,True,R-44,True,R-44_S-11
3NnAF8Cg9oGQEBTwWPoNXU,True,R-44,True,R-44_S-05
1jEBTc54XTHPHsyrjyplpn,True,R-44,True,R-44_S-01
2gIBD2rDQeJAqwVQgO$EC$,True,R-44,True,R-44_S-17
1HkiMZ__iFHxOMee8J3HWJ,True,R-44,True,R-44_S-13
319tUmzlxBIwSWBr9n8avS,True,R-44,True,R-44_S-09
